"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","individualCount","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","coordinateUncertaintyInMeters","elevation","elevationAccuracy","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","license","isSequenced","identifier","facts","relations","isInCluster","datasetID","datasetName","recordedBy","nucleotideSequence","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","identifier.1","catalogNumber","institutionID","nomenclaturalCode","institutionCode","http...unknown.org.crawl_attempt","locality","gbifID","language","collectionCode","occurrenceID","type","name","institutionKey","collectionKey","preparations","http...unknown.org.localId","habitat","verbatimEventDate","municipality","disposition","reproductiveCondition","projectId","identifiedBy","recordNumber","fieldNumber","verbatimTaxonRank","networkKeys","gadm","higherGeography","recordedByIDs.type","recordedByIDs.value","http...unknown.org.declaredCount","higherClassification","dateIdentified","dynamicProperties","georeferencedBy","rightsHolder","county","verbatimCoordinateSystem","http...unknown.org.griddedDataset","taxonID","verbatimIdentification","acceptedNameUsageID","bibliographicCitation","occurrenceRemarks","depth","depthAccuracy","ownerInstitutionCode","collectionID","previousIdentifications","locationID","http...unknown.org.status","http...unknown.org.crawlerDwcaCacheTime","http...unknown.org.orphanEndpoint","otherCatalogNumbers","identificationID","fieldNotes","identificationRemarks","verbatimElevation","infraspecificEpithet","coordinatePrecision","http...unknown.org.dateLastUpdated","eventRemarks","http...unknown.org.code","http...unknown.org.conceptualSchema","http...unknown.org.maxSearchResponseRecords","georeferenceRemarks","distanceFromCentroidInMeters","verbatimLocality","references","identifiedByIDs.type","identifiedByIDs.value","accessRights","http...unknown.org.download","datasetTitle"
"5828977651","Herniaria fruticosa L.",42.014561,0.329252,"inmano","45329de8-a48e-4e92-a709-f8303220ac84","dfa60bf9-be17-4b11-bdd1-23734e6dbfbd","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-21T18:27:26.406+00:00","2026-04-24T09:49:01.317+00:00",82,"PRESERVED_SPECIMEN",5,"PRESENT",7769858,6,7707728,220,422,2518,3085796,7769858,7769858,"Herniaria fruticosa L.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Herniaria","Herniaria fruticosa","Herniaria","fruticosa","SPECIES","ACCEPTED",0.71,642,0,"EUROPE","Huesca",2025,1,9,"2025-01-09",9,9,"2025-01-01T00:00:00.000+00:00","2026-04-24T09:49:01.317+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"IPE-CSIC:JACA:R312604","none","none",TRUE,"doi:10.15470/kascfy","Proyecto PHYLOPYR","JVF","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","IPE-CSIC:JACA:R312604","R312604","https://www.gbif.org/publisher/dfa60bf9-be17-4b11-bdd1-23734e6dbfbd","ICN","IPE-CSIC","105","Alins del Monte","5828977651","es","Herbario JACA","IPE-CSIC:JACA:R312604","Collection","Herniaria fruticosa L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5921326993","Herniaria fruticosa L.",39.19,-1.05,"cdc,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:21.893+00:00",375,"PRESERVED_SPECIMEN",NA,"PRESENT",7769858,6,7707728,220,422,2518,3085796,7769858,7769858,"Herniaria fruticosa L.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Herniaria","Herniaria fruticosa","Herniaria","fruticosa","SPECIES","ACCEPTED",1,390,0,"EUROPE","València",2024,5,22,"2024-05-22",143,143,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:21.893+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"D430D8FC-463E-4620-8FB3-037BEE59769E","none","none",FALSE,NA,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","S. Fos","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","D430D8FC-463E-4620-8FB3-037BEE59769E","256264-1","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b",NA,"VAL","391","sierra de Alcolea, El Bolariquio, lomas al oeste del Peñón de las Salinas","5921326993","es","VAL","D430D8FC-463E-4620-8FB3-037BEE59769E","PhysicalObject","Herniaria fruticosa L.","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5","Pliego","VAL","matorrales gipsícolas sobre yesos del Keuper","22/05/2024","Jalance (Vall de Cofrents-Aiora)","in collection","fruit-bearing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3713847480","Herniaria fruticosa L.",37.85,-1.97,"cdc,gass84,mdativ,osiic,incomis,inmafu","83504144-f762-11e1-a439-00145eb45e9a","c1564d80-1b9d-471c-b84d-8d5dd2efbf0a","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.938+00:00","2026-04-24T07:24:22.092+00:00",344,"PRESERVED_SPECIMEN",1,"PRESENT",7769858,6,7707728,220,422,2518,3085796,7769858,7769858,"Herniaria fruticosa L.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Herniaria","Herniaria fruticosa","Herniaria","fruticosa","SPECIES","ACCEPTED",707,830,0,"EUROPE","Murcia",2018,4,17,"2018-04-17",107,107,NA,"2026-04-24T07:24:22.092+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2B12D737-00D8-439C-8B90-9DD363B43BD8","none","none",FALSE,NA,"Herbario de la Universidad de Almería","J.F. Mota & A.J. Mendoza-Fernández.","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","2B12D737-00D8-439C-8B90-9DD363B43BD8","28037-1",NA,NA,"JP","350","Entre el Valle de Guadalentín y Los Vélez. Cañada de Reverte.","3713847480","es","HUAL","2B12D737-00D8-439C-8B90-9DD363B43BD8","PhysicalObject","Herniaria fruticosa L.","a8343e51-cda3-4e7a-9eb6-4431f432fde4",NA,NA,"HUAL",NA,"17/04/2018",NA,NA,NA,"HUAL","F.J. Pérez-García.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558260518","Herniaria fruticosa L.",41.39,-0.09,"cdc,gass84,txmathi,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:18.197+00:00",375,"PRESERVED_SPECIMEN",NA,"PRESENT",7769858,6,7707728,220,422,2518,3085796,7769858,7769858,"Herniaria fruticosa L.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Herniaria","Herniaria fruticosa","Herniaria","fruticosa","SPECIES","ACCEPTED",707,340,0,"EUROPE","Zaragoza",2018,5,26,"2018-05-26",146,146,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:18.197+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"9F263316-93D2-4090-872C-3649C6917CE2","none","none",FALSE,NA,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","R. Senar & P. Gumbau","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","9F263316-93D2-4090-872C-3649C6917CE2","240707-1","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b",NA,"VAL","391","Bujaraloz, Clota de la Gramenosa, marge E de la llacuna","2558260518","es","VAL","9F263316-93D2-4090-872C-3649C6917CE2","PhysicalObject","Herniaria fruticosa L.","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5","Pliego","VAL","brolles i pastures xèriques d´algepsars","26/05/2018","Bujaraloz (Monegros)","in collection","in bloom",NA,NA,"10518","10518","var.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2597551389","Herniaria fruticosa L.",38.50532,0.7867,"colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:00:49.405+00:00",369,"PRESERVED_SPECIMEN",NA,"PRESENT",7769858,6,7707728,220,422,2518,3085796,7769858,7769858,"Herniaria fruticosa L.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Herniaria","Herniaria fruticosa","Herniaria","fruticosa","SPECIES","ACCEPTED",NA,450,NA,NA,NA,2017,3,21,"2017-03-21",80,80,"2019-08-26T10:17:45.000+00:00","2026-05-25T08:00:49.405+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2018-0008128","none","none",FALSE,NA,NA,"Escobar García,P. 618/2017","none","WGS84","Magnoliopsida","ES",NA,"none","EUROPE","Spain","EUROPE","2018-0008128","2018-0008128",NA,NA,"W","369","Spain, Comunidad Valenciana, Alicante, Petrer, Rambla del Arenal, 38,5053270, -0,7866980, 450 m","2597551389",NA,"Herbarium W","https://w.jacq.org/W20180008128",NA,"Herniaria fruticosa L.","37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",NA,NA,NA,NA,NA,NA,NA,NA,"P. Escobar García","618/2017",NA,NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655","none","Valenciana","WIKIDATA","https://www.wikidata.org/entity/Q36650136","391238","Illecebraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558257530","Herniaria fruticosa L.",41.12,-0.56,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:12.467+00:00",375,"PRESERVED_SPECIMEN",NA,"PRESENT",7769858,6,7707728,220,422,2518,3085796,7769858,7769858,"Herniaria fruticosa L.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Herniaria","Herniaria fruticosa","Herniaria","fruticosa","SPECIES","ACCEPTED",7071,415,0,"EUROPE","Teruel",2017,5,21,"2017-05-21",141,141,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:12.467+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"492425A4-69D6-4074-A3B8-824E59F596A3","none","none",FALSE,NA,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","R. Senar y P. Gumbau","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","492425A4-69D6-4074-A3B8-824E59F596A3","236751-1","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b",NA,"VAL","391","Albalate del Arzobispo, El Bolar, basa d´aigua junt a A-223","2558257530","es","VAL","492425A4-69D6-4074-A3B8-824E59F596A3","PhysicalObject","Herniaria fruticosa L.","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5","Pliego","VAL","pastures xèriques gipsòfiles","21/05/2017","Albalate del Arzobispo (Bajo Martín)","in collection",NA,NA,"R. Senar",NA,"SENAR/9065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1851017638","Herniaria fruticosa L.",41.62722,0.70083,"cdc,colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:00:48.362+00:00",369,"PRESERVED_SPECIMEN",NA,"PRESENT",7769858,6,7707728,220,422,2518,3085796,7769858,7769858,"Herniaria fruticosa L.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Herniaria","Herniaria fruticosa","Herniaria","fruticosa","SPECIES","ACCEPTED",NA,NA,NA,"EUROPE",NA,2016,5,20,"2016-05-20",141,141,"2018-10-01T10:23:21.000+00:00","2026-05-25T08:00:48.362+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2018-0003203","none","none",FALSE,NA,NA,"Escobar García,P. 739/2016","none","WGS84","Magnoliopsida","ES",NA,"none","EUROPE","Spain","EUROPE","2018-0003203","2018-0003203",NA,NA,"W","369","España, [Aragón,] Zaragoza, Alfajarín, Barranco de la Virgen, 41,62732, -0,700958","1851017638",NA,"Herbarium W","https://w.jacq.org/W20180003203",NA,"Herniaria fruticosa L.","37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",NA,NA,NA,NA,NA,NA,NA,NA,"Escobar García","739/2016",NA,NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Aragón","WIKIDATA","https://www.wikidata.org/entity/Q36650136","391238","Illecebraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558257255","Herniaria fruticosa L.",41.13,-0.23,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:17.766+00:00",375,"PRESERVED_SPECIMEN",NA,"PRESENT",7769858,6,7707728,220,422,2518,3085796,7769858,7769858,"Herniaria fruticosa L.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Herniaria","Herniaria fruticosa","Herniaria","fruticosa","SPECIES","ACCEPTED",100,380,0,"EUROPE","Teruel",2016,6,13,"2016-06-13",165,165,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:17.766+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"A4D1835E-AD39-4484-80F4-005D16255230","none","none",FALSE,NA,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","R. Morales & al.","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","A4D1835E-AD39-4484-80F4-005D16255230","236500-1","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b",NA,"VAL","391","Valmuel, Puig Moreno, 41º 08’N 00º 14’W","2558257255","es","VAL","A4D1835E-AD39-4484-80F4-005D16255230","PhysicalObject","Herniaria fruticosa L.","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5","Pliego","VAL","matorral y bosque de Pinus nigra sobre cuarcitas paleozoicas","13/06/2016","Alcañiz (Bajo Aragón)","in collection",NA,NA,"J. Fabado",NA,"RM3228",NA,NA,NA,NA,NA,NA,NA,NA,"2022-11-01T00:00:00","{Exsiccata: Iter turolensis 2016. Flora iberica}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558257834","Herniaria fruticosa L.",41.55,-0.55,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:26.131+00:00",375,"PRESERVED_SPECIMEN",NA,"PRESENT",7769858,6,7707728,220,422,2518,3085796,7769858,7769858,"Herniaria fruticosa L.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Herniaria","Herniaria fruticosa","Herniaria","fruticosa","SPECIES","ACCEPTED",100,210,0,"EUROPE","Zaragoza",2016,6,11,"2016-06-11",163,163,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:26.131+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"1ABADF50-6035-4B28-9B8E-0B38A3486C91","none","none",FALSE,NA,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","I. Aizpuru, S. Andrés-Sánchez, P. Bariego, D. Guti","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","1ABADF50-6035-4B28-9B8E-0B38A3486C91","236619-1","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b",NA,"VAL","391","Pina de Ebro, Valdeosera, 41º33´28""N 0º33´2""W","2558257834","es","VAL","1ABADF50-6035-4B28-9B8E-0B38A3486C91","PhysicalObject","Herniaria fruticosa L.","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5","Pliego","VAL","matorral de Krascheninnikovia sobre calizas","11/06/2016","Pina de Ebro (Ribera Baja del Ebro)","in collection",NA,NA,"J. Fabado",NA,"SA1143",NA,NA,NA,NA,NA,NA,NA,NA,"2022-11-01T00:00:00","{Exsiccata: Iter turolensis 2016. Flora iberica}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558257968","Herniaria fruticosa L.",41.25,-0.13,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:33.610+00:00",375,"PRESERVED_SPECIMEN",NA,"PRESENT",7769858,6,7707728,220,422,2518,3085796,7769858,7769858,"Herniaria fruticosa L.","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Herniaria","Herniaria fruticosa","Herniaria","fruticosa","SPECIES","ACCEPTED",100,118,0,"EUROPE","Zaragoza",2016,6,13,"2016-06-13",165,165,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:33.610+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"DCBF8AD7-6B73-40E3-931C-16BA18A3CFEA","none","none",FALSE,NA,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","R. Morales & al.","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","DCBF8AD7-6B73-40E3-931C-16BA18A3CFEA","236601-1","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b",NA,"VAL","391","Chiprana, puente a la salida del pueblo sobre el pantano de Mequinenza, 41º 15’N 00º 08’W","2558257968","es","VAL","DCBF8AD7-6B73-40E3-931C-16BA18A3CFEA","PhysicalObject","Herniaria fruticosa L.","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5","Pliego","VAL","ribera del pantano y matorral en cerros áridos","13/06/2016","Chiprana (Bajo Aragón-Caspe)","in collection",NA,NA,"J. Fabado",NA,"RM3295",NA,NA,NA,NA,NA,NA,NA,NA,"2022-11-01T00:00:00","{Exsiccata: Iter turolensis 2016. Flora iberica}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
