"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","individualCount","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","coordinateUncertaintyInMeters","elevation","elevationAccuracy","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","license","isSequenced","identifier","facts","relations","isInCluster","datasetID","datasetName","recordedBy","nucleotideSequence","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","identifier.1","catalogNumber","institutionID","nomenclaturalCode","institutionCode","http...unknown.org.crawl_attempt","locality","gbifID","language","collectionCode","occurrenceID","type","name","infraspecificEpithet","institutionKey","collectionKey","preparations","http...unknown.org.localId","habitat","verbatimEventDate","municipality","disposition","reproductiveCondition","verbatimTaxonRank","identifiedBy","recordNumber","fieldNumber","projectId","dynamicProperties","eventRemarks","fieldNotes","identificationRemarks","depth","depthAccuracy","rightsHolder","ownerInstitutionCode","occurrenceRemarks","collectionID","networkKeys","higherGeography","recordedByIDs.type","recordedByIDs.value","http...unknown.org.declaredCount","higherClassification","dateIdentified","georeferencedBy","county","verbatimCoordinateSystem","http...unknown.org.griddedDataset","taxonID","verbatimIdentification","acceptedNameUsageID","bibliographicCitation","gadm","previousIdentifications","locationID","typeStatus","otherCatalogNumbers","http...unknown.org.dateLastUpdated","http...unknown.org.code","http...unknown.org.conceptualSchema","http...unknown.org.maxSearchResponseRecords","identificationID","coordinatePrecision","references","verbatimElevation","georeferenceRemarks","accessRights","locationRemarks","organismQuantity","organismQuantityType","http...unknown.org.download","datasetTitle","http...unknown.org.orphanEndpoint","http...unknown.org.status"
"5828977685","Ononis tridentata L.",42.025968,0.377124,"inmano","45329de8-a48e-4e92-a709-f8303220ac84","dfa60bf9-be17-4b11-bdd1-23734e6dbfbd","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-21T18:27:26.406+00:00","2026-04-24T09:48:51.877+00:00",82,"PRESERVED_SPECIMEN",5,"PRESENT",2977272,6,7707728,220,1370,5386,2977094,2977272,2977272,"Ononis tridentata L.","Plantae","Tracheophyta","Fabales","Fabaceae","Ononis","Ononis tridentata","Ononis","tridentata","SPECIES","ACCEPTED",0.71,650,0,"EUROPE","Huesca",2025,5,4,"2025-05-04",124,124,"2025-01-01T00:00:00.000+00:00","2026-04-24T09:48:51.877+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"IPE-CSIC:JACA:R312715","none","none",FALSE,"doi:10.15470/kascfy","Proyecto PHYLOPYR","JVF, PTI, EMP","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","IPE-CSIC:JACA:R312715","R312715","https://www.gbif.org/publisher/dfa60bf9-be17-4b11-bdd1-23734e6dbfbd","ICN","IPE-CSIC","105","Calasanz","5828977685","es","Herbario JACA","IPE-CSIC:JACA:R312715","Collection","Ononis tridentata L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3855038527","Ononis tridentata L.",37.01,-3.87,"cdc,osiic","6a7575fa-ae03-4ba3-b322-2da15b5033e2","d68c4230-a271-11d8-a9b3-b8a03c50a862","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T19:28:29.248+00:00","2026-04-24T04:39:40.199+00:00",394,"PRESERVED_SPECIMEN",1,"PRESENT",2977272,6,7707728,220,1370,5386,2977094,2977272,2977272,"Ononis tridentata L.","Plantae","Tracheophyta","Fabales","Fabaceae","Ononis","Ononis tridentata","Ononis","tridentata","SPECIES","ACCEPTED",707,1030,0,"EUROPE","Granada",2021,9,28,"2021-09-28",271,271,"2022-06-24T10:36:01.000+00:00","2026-04-24T04:39:40.199+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"ABE2C3F5-DFAC-406E-B25C-A6CEB1755871","none","none",FALSE,NA,"Herbario de la Universidad de Granada: Colección GDA-Fanerogamia","J. Fuentes & J. Algarra","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","ABE2C3F5-DFAC-406E-B25C-A6CEB1755871","69012-1","https://www.gbif.org/grscicoll/institution/a46ced27-ecc3-43df-981f-d6de329f50b4",NA,"GDA","400","Poblado de los Bermejales, fuente del Lobo","3855038527","es","GDA-Fanero","ABE2C3F5-DFAC-406E-B25C-A6CEB1755871","PhysicalObject","Ononis tridentata L.",NA,"a46ced27-ecc3-43df-981f-d6de329f50b4","82d87a2a-f701-46ca-a1c0-292e83fc790a","Pliego",NA,"taludes margo-yesíferos","28/09/2021","Arenas del Rey","in collection",NA,NA,"Fuentes, J. & Algarra, J.",NA,NA,NA,NA,NA,NA,NA,0,0,"Herbarium University of Granada, Spain","GDA","Nota: Abundante","https://www.gbif.org/grscicoll/collection/82d87a2a-f701-46ca-a1c0-292e83fc790a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4147459094","Ononis tridentata L.",40.04,-2.63,"cdc,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:20.914+00:00",375,"PRESERVED_SPECIMEN",NA,"PRESENT",2977272,6,7707728,220,1370,5386,2977094,2977272,2977272,"Ononis tridentata L.","Plantae","Tracheophyta","Fabales","Fabaceae","Ononis","Ononis tridentata","Ononis","tridentata","SPECIES","ACCEPTED",NA,933,0,"EUROPE","Cuenca",2020,9,13,"2020-09-13",257,257,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:20.914+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"BBF47B8E-CF0D-4B25-A67B-DF225D11D477","none","none",FALSE,NA,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","L.M. Ferrero, L. Medina","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","BBF47B8E-CF0D-4B25-A67B-DF225D11D477","250836-1","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b",NA,"VAL","391","Carrascosa del Campo, Valparaiso de Abajo","4147459094","es","VAL","BBF47B8E-CF0D-4B25-A67B-DF225D11D477","PhysicalObject","Ononis tridentata L.",NA,"c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5","Pliego","VAL","ribazos no cultivados sobre yesos","13/09/2020","Campos del Paraíso","in collection","in bloom",NA,NA,NA,"LM11055",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ex dupla MA-943708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4147455333","Ononis tridentata L.",41.77,-4.31,"cdc,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:26:56.473+00:00",375,"PRESERVED_SPECIMEN",NA,"PRESENT",2977272,6,7707728,220,1370,5386,2977094,2977272,2977272,"Ononis tridentata L.","Plantae","Tracheophyta","Fabales","Fabaceae","Ononis","Ononis tridentata","Ononis","tridentata","SPECIES","ACCEPTED",NA,832,0,"EUROPE","Palencia",2019,6,27,"2019-06-27",178,178,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:26:56.473+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"0864B2A5-4F6D-4757-8D48-A5937E4ED685","none","none",FALSE,NA,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","I. Aizpuru, S. Andrés-Sánchez, A. Buira, J. A. Díaz Núñez, D. Gutiérre","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","0864B2A5-4F6D-4757-8D48-A5937E4ED685","251250-1","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b",NA,"VAL","391","Valcabado","4147455333","es","VAL","0864B2A5-4F6D-4757-8D48-A5937E4ED685","PhysicalObject","Ononis tridentata L.",NA,"c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5","Pliego","VAL","quejigar sobre yesos","27/06/2019","Alba de Cerrato","in collection","in bloom",NA,NA,NA,"SA1679",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Campaña de recolección financiada parcialmente (participación de E. Rico, S. Andrés Sánchez y D. Gutiérrez Larruscain) por el proyecto “Flora Iberica XI” (Salamanca) (CGL2017-85204-C3-2-P)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4147459345","Ononis tridentata L.",41.92,-4.4,"cdc,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:01.240+00:00",375,"PRESERVED_SPECIMEN",NA,"PRESENT",2977272,6,7707728,220,1370,5386,2977094,2977272,2977272,"Ononis tridentata L.","Plantae","Tracheophyta","Fabales","Fabaceae","Ononis","Ononis tridentata","Ononis","tridentata","SPECIES","ACCEPTED",NA,827,0,"EUROPE","Palencia",2019,6,26,"2019-06-26",177,177,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:01.240+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"0B8119B3-6691-4D97-B14D-904763852232","none","none",FALSE,NA,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","I. Aizpuru, S. Andrés-Sánchez, J. A. Díaz Núñez, D. Gutiérrez-Larrusca","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","0B8119B3-6691-4D97-B14D-904763852232","251147-1","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b",NA,"VAL","391","El Raposillo","4147459345","es","VAL","0B8119B3-6691-4D97-B14D-904763852232","PhysicalObject","Ononis tridentata L.",NA,"c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5","Pliego","VAL","matorral aclarado en cerro yesoso","26/06/2019","Hontoria de Cerrato","in collection","in bloom",NA,NA,NA,"SA1563",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Campaña de recolección financiada parcialmente (participación de E. Rico, S. Andrés Sánchez y D. Gutiérrez Larruscain) por el proyecto “Flora Iberica XI” (Salamanca) (CGL2017-85204-C3-2-P)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5797301697","Ononis tridentata L.",41.48016,1.46692,"gass84,rdativ,inmano","838475f4-f762-11e1-a439-00145eb45e9a","6f3ccc65-0a54-4e65-ae7e-13b92d618e7c","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-05-14T18:31:27.870+00:00","2026-05-19T13:30:25.870+00:00",396,"PRESERVED_SPECIMEN",NA,"PRESENT",2977272,6,7707728,220,1370,5386,2977094,2977272,2977272,"Ononis tridentata L.","Plantae","Tracheophyta","Fabales","Fabaceae","Ononis","Ononis tridentata","Ononis","tridentata","SPECIES","ACCEPTED",1,NA,NA,"EUROPE","Tarragona",2019,10,1,"2019-10-01",274,274,"2022-10-31T00:00:00.000+00:00","2026-05-19T13:30:25.870+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"5217168B-A42C-4667-8281-E612EA43B88D","none","none",FALSE,NA,"Institut Botànic de Barcelona (CSIC-CMCNB) – BC","J. Nuet Badia","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","5217168B-A42C-4667-8281-E612EA43B88D","BC-848407","6f3ccc65-0a54-4e65-ae7e-13b92d618e7c",NA,"BC","410","Pontils; Pontils, caseta del Guix","5797301697",NA,"BC","5217168B-A42C-4667-8281-E612EA43B88D",NA,"Ononis tridentata L.",NA,NA,NA,"Herbarium specimen","BC","Triàsic, calcàries i margues guixoses. Brolla de ruac i fenàs","01/10/2019",NA,NA,NA,NA,"J. Nuet Badia",NA,NA,NA,NA,NA,"HERBARI DE JOSEP NUET BADIA","Last label. Date Identified: 03-2020",NA,NA,NA,NA,"NBJ0-20190924e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5797312459","Ononis tridentata L.",41.421,1.2014,"gass84,inmano","838475f4-f762-11e1-a439-00145eb45e9a","6f3ccc65-0a54-4e65-ae7e-13b92d618e7c","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-05-14T18:31:27.870+00:00","2026-05-19T13:30:20.688+00:00",396,"PRESERVED_SPECIMEN",NA,"PRESENT",2977272,6,7707728,220,1370,5386,2977094,2977272,2977272,"Ononis tridentata L.","Plantae","Tracheophyta","Fabales","Fabaceae","Ononis","Ononis tridentata","Ononis","tridentata","SPECIES","ACCEPTED",2000,NA,NA,"EUROPE","Tarragona",2018,7,NA,"2018-07",NA,NA,"2025-02-18T00:00:00.000+00:00","2026-05-19T13:30:20.688+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"DA9678FE-1439-4021-09AC-DD48DCA68CFB","none","none",FALSE,NA,"Institut Botànic de Barcelona (CSIC-CMCNB) – BC","C. Burguera","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","DA9678FE-1439-4021-09AC-DD48DCA68CFB","BC-973146","6f3ccc65-0a54-4e65-ae7e-13b92d618e7c",NA,"BC","410","Pira; Pira","5797312459",NA,"BC","DA9678FE-1439-4021-09AC-DD48DCA68CFB",NA,"Ononis tridentata L.",NA,NA,NA,"Herbarium specimen","BC",NA,"00/07/2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last label",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1882653681","Ononis tridentata L.",37.16064,-2.11557,"cdc,colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:01:01.441+00:00",369,"PRESERVED_SPECIMEN",NA,"PRESENT",2977272,6,7707728,220,1370,5386,2977094,2977272,2977272,"Ononis tridentata L.","Plantae","Tracheophyta","Fabales","Fabaceae","Ononis","Ononis tridentata","Ononis","tridentata","SPECIES","ACCEPTED",NA,520,NA,"EUROPE",NA,2017,3,25,"2017-03-25",84,84,"2018-09-27T10:50:01.000+00:00","2026-05-25T08:01:01.441+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2018-0003525","none","none",FALSE,NA,NA,"Escobar García,P. 794/2017","none","WGS84","Magnoliopsida","ES",NA,"none","EUROPE","Spain","EUROPE","2018-0003525","2018-0003525",NA,NA,"W","369","Spain, Andalucía, Almería, Sorbas, Los Yesares, 37,1606405, -2,1155691, 520 m","1882653681",NA,"Herbarium W","https://w.jacq.org/W20180003525",NA,"Ononis tridentata L.",NA,"37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",NA,NA,NA,NA,NA,NA,NA,NA,"P. Escobar García","794/2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dupl. in NY.",NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655","Andalucía","WIKIDATA","https://www.wikidata.org/entity/Q36650136","391238","Fabaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558255264","Ononis tridentata L.",40.52,-1.03,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:16.552+00:00",375,"PRESERVED_SPECIMEN",NA,"PRESENT",2977272,6,7707728,220,1370,5386,2977094,2977272,2977272,"Ononis tridentata L.","Plantae","Tracheophyta","Fabales","Fabaceae","Ononis","Ononis tridentata","Ononis","tridentata","SPECIES","ACCEPTED",100,1150,0,"EUROPE","Teruel",2016,6,16,"2016-06-16",168,168,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:16.552+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"952DCF20-EA4E-43C9-8CAB-0E2C5D989C96","none","none",FALSE,NA,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","A. Buira & al.","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","952DCF20-EA4E-43C9-8CAB-0E2C5D989C96","235317-1","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b",NA,"VAL","391","pr. Alfambra","2558255264","es","VAL","952DCF20-EA4E-43C9-8CAB-0E2C5D989C96","PhysicalObject","Ononis tridentata L.",NA,"c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5","Pliego","VAL","taludes y bordes de cultivos cerealistas, sobre sustratos de margas yesíferas","16/06/2016","Alfambra (Comunidad de Teruel)","in collection",NA,NA,"J. Fabado",NA,"TB3022",NA,"{Exsiccata: Iter turolensis 2016. Flora iberica}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-01T00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1230998276","Ononis tridentata L.",37.09306,-2.09251,"cdc,colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:00:58.830+00:00",369,"PRESERVED_SPECIMEN",NA,"PRESENT",2977272,6,7707728,220,1370,5386,2977094,2977272,2977272,"Ononis tridentata L.","Plantae","Tracheophyta","Fabales","Fabaceae","Ononis","Ononis tridentata","Ononis","tridentata","SPECIES","ACCEPTED",NA,NA,NA,"EUROPE",NA,2015,4,28,"2015-04-28",118,118,"2016-01-20T16:06:44.000+00:00","2026-05-25T08:00:58.830+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2015-0015265","none","none",FALSE,NA,NA,"Escobar García,P. 237/2015","none","WGS84","Magnoliopsida","ES",NA,"none","EUROPE","Spain","EUROPE","2015-0015265","2015-0015265",NA,NA,"W","369","Spain, Andalucía, Almería, Sorbas, Karst en Yesos, 37,092935 N 2,092505 W","1230998276",NA,"Herbarium W","https://w.jacq.org/W20150015265",NA,"Ononis tridentata L.",NA,"37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",NA,NA,NA,NA,NA,NA,NA,NA,"P. Escobar García","237/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655","Andalucía","WIKIDATA","https://www.wikidata.org/entity/Q36650136","391238","Fabaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
